ActivityKey,Type
17816,Exam
39236,Exam
54178,Exam
13212,Track
50118,Exam
106049,Course
114649,Course
124389,Course
124679,Course
171369,Course
175859,Course
27736,Certification
3816,Assessment
22456,Assessment
38386,Exam
186399,Course
189449,Course
28232,Track
35638,Exam
10906,Certification
28866,Exam
5876,Assessment
23646,Assessment
578,Exam
50968,Exam
86438,Exam
47348,Exam
28366,Exam
2816,Assessment
17886,Assessment
39266,Exam
14672,Track
5642,Track
26822,Track
104639,Course
116229,Course
121829,Course
125809,Course
162699,Course
177689,Course
27756,Certification
3876,Assessment
22466,Assessment
38416,Exam
187739,Course
189499,Course
40848,Exam
4942,Track
10916,Assessment
29066,Certification
5886,Assessment
23726,Assessment
3022,Track
858,Exam
43328,Exam
39968,Exam
28376,Exam
2826,Assessment
17976,Assessment
39366,Exam
14912,Track
41278,Exam
44288,Exam
104939,Course
108569,Course
123419,Course
123649,Course
170129,Course
174329,Course
27836,Certification
3916,Assessment
22696,Assessment
38426,Exam
186419,Course
187979,Course
6792,Track
4742,Track
10936,Assessment
29146,Certification
6036,Assessment
23776,Assessment
1182,Track
49048,Exam
28502,Track
54678,Exam
28446,Certification
2916,Assessment
18016,Assessment
39376,Exam
13242,Track
50408,Exam
50468,Exam
104909,Course
110109,Course
123589,Course
137409,Course
169389,Course
176829,Course
27956,Certification
4136,Assessment
22816,Assessment
38576,Exam
187259,Course
188749,Course
26032,Track
26682,Track
10986,Assessment
29206,Exam
6086,Assessment
23896,Assessment
49688,Exam
51248,Exam
54478,Exam
53078,Exam
28466,Exam
2966,Assessment
18196,Assessment
39416,Exam
1662,Track
40558,Exam
598,Exam
105329,Course
108439,Course
122109,Course
138619,Course
162689,Course
176749,Course
28096,Exam
4516,Assessment
23016,Assessment
38586,Exam
187179,Course
189519,Course
452168,Exam
15672,Track
11006,Assessment
29216,Exam
6416,Assessment
24096,Assessment
422,Track
45838,Exam
4142,Track
54068,Exam
28626,Certification
3096,Assessment
18306,Assessment
39456,Exam
54018,Exam
12432,Track
31142,Track
106029,Course
118729,Course
122639,Course
124279,Course
170589,Course
174979,Course
28186,Exam
4646,Assessment
23276,Assessment
38606,Exam
186339,Course
188779,Course
11752,Track
15582,Track
11026,Assessment
29236,Certification
6536,Assessment
24106,Certification
50498,Exam
42998,Exam
9582,Track
45858,Exam
28636,Exam
3126,Assessment
18426,Assessment
39466,Exam
39078,Exam
13932,Track
43268,Exam
104899,Course
116219,Course
120289,Course
137479,Course
160069,Course
176459,Course
28326,Certification
4916,Certification
23336,Assessment
38856,Exam
187159,Course
189619,Course
10342,Track
30112,Track
11036,Assessment
29286,Exam
6646,Assessment
24116,Exam
42788,Exam
98668,Exam
6072,Track
4162,Track
28666,Certification
3216,Assessment
