CustomerKey,Workload,PartnerOneKey,Consumption
683851722,MODWRK,1249551,827.68
676952873,MODWRK,1018747,42343.75
677621009,MODWRK,1120689,5460.37
677936051,AZURE,1018856,420888.23
676978263,AZURE,1141402,49202.12
683174107,MODWRK,4176251,196.45
677622227,AZURE,4665790,29985
677621774,MODWRK,1018636,52.01
677620857,AZURE,1121211,3481.39
676994834,MODWRK,1020950,18177.56
676955997,MODWRK,4545212,72421.5
677092917,MODWRK,2582478,3813.51
676952503,BIZAPP,1142674,10.29
683843438,MODWRK,1014942,1851.49
677621100,BIZAPP,1020340,0.97
676993678,BIZAPP,1731984,38.78
676989570,AZURE,3328195,18129.67
676977443,BIZAPP,1018544,1279.98
677009521,AZURE,1575759,475377.72
676956119,AZURE,4864219,50097.13
683842154,MODWRK,1021570,8438.41
676975480,AZURE,4714276,15141
683841894,MODWRK,1023126,2847.01
683843043,AZURE,1626678,41987.45
683846101,MODWRK,1116454,3.97
683885838,AZURE,4933189,751168.27
677063001,MODWRK,1122167,9043.42
677072639,AZURE,-4443,171071.23
